CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
10.635.691/0001-53;2021-12-31;1;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;249500;249500;499000;0;0;0
10.647.979/0001-48;2021-12-31;1;CONC ROTA DAS BANDEIRAS S.A.;278399525;278399525;556799050;0;0;0
10.670.314/0001-55;2021-12-31;2;VIABAHIA CONCESSIONÁRIA DE RODOVIAS SA;635121;0;635121;0;0;0
10.678.505/0001-63;2021-12-31;1;CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL;30357847596;0;30357847596;0;0;0
10.739.356/0001-03;2021-12-31;2;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;195651;118300;313951;0;0;0
10.753.164/0001-43;2021-12-31;1;ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.;100;0;100;0;0;0
10.760.260/0001-19;2021-12-31;1;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;224934809;0;224934809;8462;0;8462
10.807.374/0001-77;2021-12-31;2;BOA SAFRA SEMENTES S.A.;117140326;0;117140326;0;0;0
10.835.932/0001-08;2021-12-31;1;CIA ENERGETICA DE PERNAMBUCO - CELPE;66303;8309;74612;0;0;0
10.841.050/0001-55;2021-12-31;1;CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS;687665;0;687665;0;0;0
10.851.805/0001-00;2021-12-31;1;FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;3248;0;3248;0;0;0
11.257.352/0001-43;2021-12-31;1;BSI CAPITAL SECURITIZADORA S.A.;128700;0;128700;0;0;0
11.274.829/0001-07;2021-12-31;1;COMPANHIA PAULISTA DE SECURITIZAÇÃO;4130956;0;4130956;0;0;0
11.284.204/0001-18;2021-12-31;1;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;32317;0;32317;0;0;0
11.421.994/0001-36;2021-12-31;2;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;71500;0;71500;0;0;0
11.669.021/0001-10;2021-12-31;2;ENAUTA PARTICIPAÇÕES S.A.;265806905;0;265806905;2690656;0;2690656
11.716.471/0001-17;2021-12-31;1;TRX SECURITIZADORA S.A.;28905;0;28905;0;0;0
11.721.921/0001-60;2021-12-31;1;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;15232292;0;15232292;51597;0;51597
11.725.176/0001-27;2021-12-31;4;BOA VISTA SERVIÇOS S.A.;531440373;0;531440373;0;0;0
11.992.680/0001-93;2021-12-31;1;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;284014325;0;284014325;6260180;0;6260180
12.049.631/0001-84;2021-12-31;1;MOURA DUBEUX ENGENHARIA S/A;84909375;0;84909375;1690000;0;1690000
12.091.809/0001-55;2021-12-31;1;BRAVA ENERGIA S.A.;202593078;0;202593078;0;0;0
12.104.241/0004-02;2021-12-31;1;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;495357723;0;495357723;20573688;0;20573688
12.108.897/0001-50;2021-12-31;2;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;50602;0;50602;0;0;0
12.130.744/0001-00;2021-12-31;1;TRUE SECURITIZADORA S.A.;400;0;400;0;0;0
12.139.922/0001-63;2021-12-31;1;OCTANTE SECURITIZADORA S.A.;134889;0;134889;0;0;0
12.181.987/0001-77;2021-12-31;1;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;207969341;0;207969341;5784900;0;5784900
12.261.588/0001-16;2021-12-31;1;POLO CAPITAL SECURITIZADORA S.A;500;0;500;0;0;0
12.300.288/0001-07;2021-12-31;1;NORTE ENERGIA S.A.;13396000;0;13396000;0;0;0
12.320.349/0001-90;2021-12-31;1;ORE  SECURITIZADORA SA;827;0;827;0;0;0
12.420.164/0001-57;2021-12-31;2;CM HOSPITALAR S.A;286123360;0;286123360;0;0;0
12.489.315/0001-23;2021-12-31;1;FERREIRA GOMES ENERGIA S.A.;807080529;0;807080529;0;0;0
12.528.708/0001-07;2021-12-31;1;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;766213456;0;766213456;3000000;0;3000000
12.592.831/0001-89;2021-12-31;1;MNLT S.A.;2260490292;10;2260490302;0;0;0
12.648.266/0001-24;2021-12-31;1;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;112935588;0;112935588;0;0;0
12.648.327/0001-53;2021-12-31;1;HIDROVIAS DO BRASIL S.A.;760383;0;760383;0;0;0
12.919.786/0001-24;2021-12-31;1;TCP TERMINAL DE CONTEINERES DE PARANAGUA SA;8116936;0;8116936;0;0;0
12.979.898/0001-70;2021-12-31;1;FORTE SECURITIZADORA S.A.;3007777;0;3007777;0;0;0
13.009.717/0001-46;2021-12-31;1;BCO ESTADO DE SERGIPE S.A. - BANESE;7642545;7642545;15285090;0;0;0
13.017.462/0001-63;2021-12-31;1;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A;195509;0;195509;0;0;0
13.217.485/0001-11;2021-12-31;1;GRUPO SBF S.A.;242998022;0;242998022;0;0;0
13.270.520/0001-66;2021-12-31;1;KORA SAÚDE PARTICIPAÇÕES S.A.;767173651;0;767173651;0;0;0
13.349.677/0001-81;2021-12-31;1;REIT SECURITIZADORA S/A;1358;0;1358;0;0;0
13.444.994/0001-87;2021-12-31;1;MLOG S.A.;2900;0;2900;0;0;0
13.457.942/0001-45;2021-12-31;1;RIVA INCORPORADORA S.A;51919803;0;51919803;0;0;0
13.522.948/0001-59;2021-12-31;1;SAFIRA HOLDING S.A.;10010000;0;10010000;0;0;0
13.574.594/0001-96;2021-12-31;1;ZAMP SA;275355447;0;275355447;1222719;0;1222719
13.584.310/0001-42;2021-12-31;1;SUGOI S.A.;1000;0;1000;0;0;0
13.783.221/0004-78;2021-12-31;2;MADERO INDÚSTRIA E COMÉRCIO S.A.;314820171;31541101;346361272;0;0;0
14.110.585/0001-07;2021-12-31;1;MÉLIUZ S.A.;803598000;0;803598000;2279062;0;2279062
14.127.813/0001-51;2021-12-31;1;REAG INVESTIMENTOS S.A.;50224613;0;50224613;0;0;0
14.191.427/0001-29;2021-12-31;1;GRANBIO INVESTIMENTOS S.A.;108132505;0;108132505;0;0;0
14.388.334/0001-99;2021-12-31;1;PARANA BCO S.A.;1647843240;1609920560;3257763800;0;0;0
14.776.142/0001-50;2021-12-31;1;WESTWING COMÉRCIO VAREJISTA S.A.;110126040;0;110126040;0;0;0
14.785.152/0001-51;2021-12-31;1;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;103188981;0;103188981;0;0;0
14.807.945/0001-24;2021-12-31;1;SANSUY S.A. INDUSTRIA DE PLASTICOS;2657920;5058480;7716400;0;0;0
14.876.090/0001-93;2021-12-31;1;GAIA IMPACTO SECURITIZADORA S.A.;1190;0;1190;0;0;0
14.882.295/0001-81;2021-12-31;2;CBO HOLDING S.A.;138622434;0;138622434;0;0;0
14.998.371/0001-19;2021-12-31;1;J. MACEDO S.A.;10675;8693;19368;0;0;0
15.073.274/0001-88;2021-12-31;2;PPLA PARTICIPATIONS LTD.;938223;1876444;2814667;0;0;0
15.090.690/0001-94;2021-12-31;1;CONCESSIONARIA ECOVIAS DO ARAGUAIA S.A.;1922551;0;1922551;0;0;0
15.101.405/0001-93;2021-12-31;1;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;7815;15338;23153;6;0;6
15.115.504/0001-24;2021-12-31;1;TRONOX PIGMENTOS DO BRASIL S.A.;10158398;18860349;29018747;0;0;0
15.139.629/0001-94;2021-12-31;1;CIA ELETRICIDADE EST. DA BAHIA - COELBA;151998;110098;262096;0;0;0
15.141.799/0001-03;2021-12-31;1;CIA FERRO LIGAS DA BAHIA - FERBASA;29440000;58880000;88320000;40000;3183300;3223300
15.144.017/0001-90;2021-12-31;2;CIA SEGUROS ALIANCA DA BAHIA;3840;3840;7680;0;0;0
15.229.110/0001-05;2021-12-31;1;CAPITALE SECURITIZADORA DE CRÉDITO S/A;10000;0;10000;0;0;0
15.377.572/0001-61;2021-12-31;1;NASA SECURITIZADORA S.A.;100000;0;100000;0;0;0
15.413.826/0001-50;2021-12-31;1;ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.;647015;0;647015;0;0;0
15.484.093/0001-44;2021-12-31;1;ECO101 CONCESSIONÁRIA DE RODOVIAS S.A.;900500;0;900500;0;0;0
15.494.541/0001-90;2021-12-31;1;SALUS INFRAESTRUTURA PORTUARIA SA;420000;0;420000;0;0;0
15.527.906/0001-36;2021-03-31;2;BIOSEV S.A.;1020429426;0;1020429426;0;0;0
15.578.569/0001-06;2021-12-31;1;CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.;3033542;0;3033542;0;0;0
15.675.715/0001-11;2021-12-31;1;HOUSI S.A.;16747000;0;16747000;0;0;0
15.688.041/0001-90;2021-12-31;1;MBK SECURITIZADORA SA;13354;0;13354;0;0;0
16.233.389/0001-55;2021-12-31;1;CVLB BRASIL S.A;19768669;2760712;22529381;91855;0;91855
16.234.171/0001-15;2021-12-31;1;METANOR SA METANOL DO NE;97768;196571;294339;0;0;0
16.404.287/0001-55;2021-12-31;1;SUZANO S.A.;1361263584;0;1361263584;12042004;0;12042004
16.590.234/0001-76;2021-12-31;2;AZZAS 2154 S.A.;99631;0;99631;0;0;0
16.614.075/0001-00;2021-12-31;1;DIRECIONAL ENGENHARIA S.A.;150000000;0;150000000;803592;0;803592
16.670.085/0001-55;2021-12-31;1;LOCALIZA RENT A CAR S.A.;758467;0;758467;6275;0;6275
16.676.520/0001-59;2021-12-31;1;HOSPITAL MATER DEI S.A.;382329821;0;382329821;0;0;0
16.811.931/0001-00;2021-12-31;2;ALPHAVILLE S.A.;22415794;0;22415794;22399;0;22399
16.838.421/0001-26;2021-12-31;1;XP INVESTIMENTOS S.A.;3603311063;0;3603311063;0;0;0
16.922.038/0001-51;2021-12-31;1;ENJOEI S.A.;197856;0;197856;0;0;0
17.155.730/0001-64;2021-12-31;1;CIA ENERGETICA DE MINAS GERAIS - CEMIG;566037;1127325;1693362;0;651;651
17.159.005/0001-64;2021-12-31;1;FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL;4500;9000;13500;948;0;948
17.159.229/0001-76;2021-12-31;2;LABORATÓRIO TEUTO BRASILEIRO S.A.;54655555;0;54655555;0;0;0
17.161.241/0001-15;2021-12-31;1;MINASMAQUINAS S.A.;22;22;44;1;2;3
17.162.082/0001-73;2021-12-31;1;MENDES JUNIOR ENGENHARIA S.A.;6977;3332;10309;0;0;0
17.167.396/0001-69;2021-12-31;1;ALFA HOLDINGS S.A.;46011632;38670637;84682269;0;0;0
17.167.412/0001-13;2021-12-31;1;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;58736269;44206287;102942556;157800;132200;290000
17.184.037/0001-10;2021-12-31;3;BCO MERCANTIL DO BRASIL S.A.;65156;39676;104832;0;511;511
17.193.806/0001-46;2021-12-31;1;CONSORCIO ALFA DE ADMINISTRACAO S.A.;40394932;33251456;73646388;0;0;0
17.234.244/0001-31;2021-12-31;1;FTL - FERROVIA TRANSNORDESTINA LOGÍSTICA S.A.;550871212;0;550871212;0;0;0
17.245.234/0001-00;2021-12-31;2;CIA FIACAO TECIDOS CEDRO CACHOEIRA;5707104;4292896;10000000;0;0;0
17.281.106/0001-03;2021-12-31;3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;380253;0;380253;1072;0;1072
17.314.329/0001-20;2021-12-31;1;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;286369530;0;286369530;926500;0;926500
17.344.597/0001-94;2021-12-31;1;BB SEGURIDADE PARTICIPAÇÕES S.A.;2000000000;0;2000000000;3313471;0;3313471
17.359.233/0001-88;2021-12-31;1;TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.;383000000;0;383000000;0;0;0
17.943.792/0001-30;2021-12-31;1;FULWOOD S.A.;107010;0;107010;0;0;0
